ZIP.code,ZIP.missing
89131,0
870XX,1
63116,0
11218,0
94564,0
30813,0
53081,0
103XX,1
30016,0
40475,0
34238,0
60103,0
74801,0
58102,0
10033,0
33068,0
92114,0
27203,0
20785,0
23237,0
79938,0
75771,0
29010,0
308XX,1
89148,0
187XX,1
338XX,1
84401,0
60458,0
62704,0
164XX,1
75081,0
851XX,1
48237,0
11221,0
19145,0
60625,0
71901,0
29385,0
33311,0
108XX,1
32822,0
77573,0
60411,0
75248,0
75010,0
974XX,1
90045,0
27215,0
33311,0
98226,0
91205,0
78745,0
92020,0
07050,0
30038,0
34787,0
30294,0
28105,0
60467,0
85028,0
90806,0
532XX,1
60406,0
48917,0
29645,0
60074,0
32837,0
302XX,1
44657,0
403XX,1
55322,0
48213,0
11432,0
94544,0
21044,0
98951,0
89113,0
19131,0
804XX,1
11236,0
30045,0
60443,0
33313,0
91403,0
19973,0
37042,0
30349,0
30046,0
33015,0
60607,0
07104,0
13031,0
43213,0
06611,0
30024,0
28401,0
36117,0
77584,0
64850,0
63034,0
89052,0
33411,0
98801,0
19115,0
41265,0
246XX,1
441XX,1
78260,0
75243,0
43062,0
55303,0
35405,0
38233,0
19462,0
33510,0
33313,0
816XX,1
31909,0
91911,0
48124,0
92553,0
19132,0
48180,0
11412,0
94517,0
554XX,1
565XX,1
62458,0
44125,0
98030,0
342XX,1
64118,0
65714,0
08065,0
33025,0
60516,0
38125,0
36344,0
144XX,1
19138,0
33604,0
30083,0
48213,0
967XX,1
32724,0
326XX,1
85015,0
76244,0
89512,0
28269,0
80138,0
22191,0
43229,0
64151,0
77055,0
19401,0
91504,0
32720,0
378XX,1
80012,0
48234,0
20744,0
18301,0
77355,0
91335,0
19805,0
92054,0
43218,0
10027,0
19121,0
27260,0
30043,0
62521,0
52302,0
33897,0
93940,0
33610,0
14031,0
30349,0
53143,0
30248,0
92101,0
75082,0
33596,0
75232,0
90813,0
08093,0
46777,0
92501,0
851XX,1
39705,0
08837,0
08701,0
92154,0
98125,0
10031,0
30125,0
08701,0
92346,0
95391,0
402XX,1
01108,0
90250,0
53206,0
30014,0
60649,0
98335,0
37013,0
19082,0
10454,0
85138,0
12065,0
331XX,1
85257,0
68111,0
30102,0
90061,0
17545,0
706XX,1
08096,0
78704,0
07093,0
60008,0
52806,0
973XX,1
751XX,1
700XX,1
11581,0
92083,0
90305,0
74012,0
77084,0
92108,0
91722,0
23188,0
377XX,1
30022,0
29154,0
11225,0
604XX,1
60607,0
18505,0
83642,0
11230,0
78254,0
11413,0
93535,0
30281,0
33810,0
89032,0
28205,0
84074,0
396XX,1
30296,0
19901,0
75070,0
60543,0
33024,0
77018,0
78258,0
91740,0
104XX,1
07601,0
627XX,1
657XX,1
11106,0
30062,0
30909,0
30022,0
29209,0
62025,0
06340,0
080XX,1
29316,0
95120,0
19134,0
217XX,1
60010,0
15235,0
75126,0
08094,0
63031,0
02762,0
48235,0
33313,0
44143,0
070XX,1
75001,0
303XX,1
10950,0
30349,0
672XX,1
84314,0
23601,0
72034,0
48506,0
08104,0
31401,0
34609,0
72209,0
44144,0
21244,0
851XX,1
43612,0
34746,0
76227,0
33570,0
032XX,1
857XX,1
12701,0
913XX,1
23224,0
84542,0
75014,0
77079,0
32244,0
30233,0
30096,0
457XX,1
92553,0
30096,0
33025,0
19023,0
33125,0
283XX,1
98030,0
32809,0
11385,0
37167,0
33142,0
10601,0
92251,0
92544,0
95833,0
77418,0
015XX,1
28262,0
77038,0
08105,0
456XX,1
480XX,1
19709,0
30233,0
260XX,1
94140,0
43229,0
76123,0
78666,0
75181,0
91789,0
92262,0
19104,0
02917,0
19131,0
33030,0
89183,0
30088,0
447XX,1
482XX,1
27330,0
43207,0
91311,0
94949,0
859XX,1
80123,0
77029,0
57301,0
77373,0
46403,0
32159,0
119XX,1
49945,0
622XX,1
01841,0
18102,0
11233,0
87002,0
48076,0
77083,0
33617,0
30024,0
391XX,1
11422,0
02054,0
55117,0
75078,0
33071,0
08701,0
208XX,1
78244,0
92154,0
48185,0
37721,0
37043,0
33407,0
48340,0
95603,0
86406,0
10467,0
90405,0
11433,0
39503,0
60617,0
770XX,1
91710,0
95482,0
92648,0
29420,0
44060,0
32208,0
75110,0
07003,0
76543,0
30907,0
60409,0
37087,0
75051,0
92562,0
77584,0
91910,0
02461,0
10801,0
54548,0
76016,0
33160,0
43227,0
11205,0
62221,0
320XX,1
28054,0
75006,0
50158,0
44011,0
85374,0
10036,0
48021,0
30017,0
56431,0
186XX,1
30253,0
39043,0
357XX,1
89183,0
39465,0
02673,0
60619,0
22630,0
37209,0
08080,0
10466,0
65203,0
01867,0
43230,0
10950,0
11385,0
17754,0
08005,0
18045,0
23059,0
71603,0
95341,0
33805,0
94565,0
85297,0
48038,0
37211,0
63031,0
843XX,1
89139,0
841XX,1
31204,0
07073,0
77449,0
43130,0
143XX,1
604XX,1
880XX,1
77040,0
92407,0
30047,0
89130,0
33435,0
44105,0
20903,0
68025,0
60639,0
72204,0
31520,0
28216,0
21122,0
60402,0
816XX,1
75001,0
351XX,1
951XX,1
77051,0
43015,0
76548,0
48161,0
48038,0
303XX,1
48206,0
19801,0
48187,0
74403,0
76227,0
11050,0
19143,0
402XX,1
49412,0
33872,0
53208,0
60622,0
79936,0
19464,0
07306,0
78209,0
18102,0
349XX,1
92069,0
19115,0
20772,0
93446,0
30016,0
11729,0
92344,0
77539,0
19121,0
07205,0
77088,0
21229,0
85042,0
11105,0
01841,0
95829,0
07307,0
28277,0
77566,0
11436,0
55422,0
34683,0
32809,0
850XX,1
45502,0
110XX,1
49546,0
92106,0
14613,0
38257,0
77387,0
49444,0
30236,0
30038,0
75075,0
38125,0
20745,0
33129,0
32708,0
11355,0
11211,0
11225,0
30017,0
32819,0
33029,0
46404,0
48238,0
29418,0
38116,0
95210,0
95662,0
30291,0
10453,0
10032,0
46060,0
55113,0
40324,0
85024,0
015XX,1
973XX,1
95758,0
30005,0
29577,0
92027,0
17104,0
19124,0
14225,0
31602,0
33032,0
60628,0
77065,0
765XX,1
10453,0
30314,0
70508,0
07003,0
21061,0
89014,0
41015,0
77014,0
71203,0
34986,0
32738,0
91706,0
30052,0
390XX,1
10029,0
70570,0
34748,0
956XX,1
91910,0
31904,0
94506,0
01040,0
14619,0
29680,0
30096,0
207XX,1
32536,0
77004,0
48184,0
21244,0
06042,0
02767,0
37915,0
75033,0
78130,0
480XX,1
36518,0
56301,0
33301,0
95205,0
79416,0
32955,0
945XX,1
31763,0
21136,0
33617,0
482XX,1
07302,0
98033,0
02895,0
75227,0
33142,0
70791,0
708XX,1
23803,0
33013,0
70814,0
30253,0
33426,0
60616,0
40004,0
96734,0
30039,0
11211,0
78245,0
27526,0
624XX,1
350XX,1
07112,0
91755,0
10459,0
32311,0
757XX,1
48075,0
150XX,1
897XX,1
37129,0
282XX,1
85023,0
331XX,1
95833,0
70131,0
11420,0
30907,0
33411,0
46038,0
77070,0
30253,0
19958,0
37042,0
640XX,1
92103,0
50125,0
92553,0
96080,0
347XX,1
77389,0
310XX,1
28314,0
60099,0
29645,0
75226,0
53209,0
74037,0
33063,0
10472,0
70726,0
07735,0
60466,0
10467,0
287XX,1
28403,0
370XX,1
37087,0
30313,0
28787,0
656XX,1
33068,0
23832,0
243XX,1
17315,0
33914,0
34983,0
232XX,1
72113,0
97222,0
91911,0
77406,0
77047,0
11208,0
43017,0
34698,0
30344,0
27807,0
60073,0
24019,0
31405,0
48227,0
011XX,1
33010,0
77083,0
23666,0
78260,0
78573,0
19462,0
77515,0
33135,0
106XX,1
973XX,1
91343,0
19131,0
92505,0
34293,0
84401,0
32207,0
27804,0
77407,0
15220,0
78217,0
159XX,1
32818,0
92336,0
77082,0
28277,0
551XX,1
89121,0
07522,0
91403,0
92139,0
78738,0
11210,0
07666,0
91405,0
302XX,1
38125,0
27326,0
37915,0
92562,0
19606,0
29223,0
60628,0
76052,0
92354,0
33127,0
37115,0
60473,0
770XX,1
08527,0
85306,0
07017,0
85048,0
30294,0
14905,0
151XX,1
93030,0
11219,0
37212,0
93552,0
704XX,1
33313,0
90061,0
870XX,1
91761,0
89048,0
94134,0
19131,0
91345,0
305XX,1
190XX,1
30339,0
77044,0
32835,0
76134,0
92646,0
48197,0
50263,0
