Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2011,0.278,0.266,3277,0,NA,NA,90022,01001
2012,0.265,0.256,3019,0,0.096,0.145,88491,01001
2013,0.282,0.277,3276,0,0.113,0.146,84625,01001
2014,0.13,0.128,3279,0,0.107,0.149,82907,01001
2015,0.15,0.154,3081,0,0.101,0.158,83259,01001
2016,0.112,0.112,3567,0,0.089,0.165,85886,01001
2017,0.177,0.179,3493,0,0.088,0.159,89638,01001
2018,0.187,0.189,3562,0,0.071,0.162,91632,01001
2019,0.163,0.164,3572,0,0.071,0.158,89777,01001
2020,0.141,0.14,3697,0,0.08,0.143,89021,01001
2021,0.137,0.134,3440,0,0.079,0.148,89394,01001
2022,0.12,0.117,3337,0,0.074,0.137,94093,01001
2023,0.034,0.034,NA,NA,NA,NA,NA,01001
2011,0.164,0.164,2084,0,NA,NA,91801,01003
2012,0.155,0.154,1806,0,0.145,0.115,88460,01003
2013,0.172,0.172,1825,0,0.148,0.112,87419,01003
2014,0.112,0.112,2015,0,0.147,0.112,86541,01003
2015,0.12,0.12,2006,0,0.13,0.109,87636,01003
2016,0.117,0.117,2099,0,0.118,0.109,89220,01003
2017,0.126,0.126,2072,0,0.108,0.108,90820,01003
2018,0.127,0.127,2036,0,0.102,0.112,93692,01003
2019,0.133,0.133,1978,0,0.089,0.117,96522,01003
2020,0.134,0.134,2046,0,0.095,0.113,98454,01003
2021,0.11,0.11,1954,0,0.097,0.109,98627,01003
2022,0.085,0.085,1872,0,0.093,0.109,99980,01003
2023,0.038,0.038,NA,NA,NA,NA,NA,01003
2011,0.254,NA,2423,0,NA,NA,57282,01005
2012,0.237,NA,2551,0,0.169,0.198,57851,01005
2013,0.243,NA,2472,0,0.165,0.186,57454,01005
2014,0.148,NA,2431,0,0.155,0.174,59969,01005
2015,0.142,NA,2514,0,0.155,0.202,57449,01005
2016,0.13,NA,2530,0,0.13,0.18,57485,01005
2017,0.129,NA,2373,0,0.123,0.195,56492,01005
2018,0.128,NA,2488,0,0.112,0.189,58135,01005
2019,0.139,NA,2398,0,0.113,0.177,56097,01005
2020,0.131,0.12,2485,0,0.107,0.15,60699,01005
2021,0.131,0.129,2409,0,0.104,0.149,61921,01005
2022,0.111,0.123,2429,0,0.107,0.138,62603,01005
2023,0.044,0.055,NA,NA,NA,NA,NA,01005
2011,0.322,0.293,4305,0,NA,NA,68507,01007
2012,0.294,0.271,4693,0,0.148,0.164,62912,01007
2013,0.329,0.307,4588,0,0.145,0.167,63940,01007
2014,0.315,0.309,4575,0,0.129,0.155,65008,01007
2015,0.309,0.307,4507,0,0.097,0.139,67160,01007
2016,0.295,0.293,4589,0,0.09,0.138,68382,01007
2017,0.259,0.245,4294,0,0.081,0.147,75951,01007
2018,0.278,0.285,4251,0,0.079,0.147,71021,01007
2019,0.262,0.271,4666,0,0.107,0.168,71726,01007
2020,0.279,0.285,4729,0,0.091,0.195,72587,01007
2021,0.247,0.248,4228,0,0.1,0.219,75786,01007
2022,0.206,0.221,4042,0,0.084,0.196,67812,01007
2023,0.071,0.072,NA,NA,NA,NA,NA,01007
2011,0.187,0.184,809,0,NA,NA,75258,01009
2012,0.194,0.191,928,0,0.131,0.163,73819,01009
2013,0.227,0.225,1012,0,0.119,0.157,71703,01009
2014,0.238,0.236,1070,0,0.121,0.16,70389,01009
2015,0.238,0.237,1078,0,0.116,0.153,70557,01009
2016,0.224,0.223,1055,0,0.112,0.132,71653,01009
2017,0.205,0.205,1108,0,0.11,0.129,73309,01009
2018,0.189,0.188,1140,0,0.11,0.123,73590,01009
