year,qtr,area_fips,low,high
1999,1,01001,1.82,2.15
1999,1,01003,1.82,2.15
1999,1,01005,0,.78
1999,1,01007,2.61,3.43
1999,1,01009,2.15,2.61
1999,1,01011,1.58,1.82
1999,1,01013,0,.78
1999,1,01015,1.01,1.19
1999,1,01017,1.01,1.19
1999,1,01019,1.82,2.15
1999,1,01021,1.58,1.82
1999,1,01023,0,.78
1999,1,01025,.78,1.01
1999,1,01027,1.19,1.37
1999,1,01029,1.82,2.15
1999,1,01031,1.19,1.37
1999,1,01033,.78,1.01
1999,1,01035,1.01,1.19
1999,1,01037,1.19,1.37
1999,1,01039,1.01,1.19
1999,1,01041,1.01,1.19
1999,1,01043,1.37,1.58
1999,1,01045,1.01,1.19
1999,1,01047,.78,1.01
1999,1,01049,.78,1.01
1999,1,01051,2.61,3.43
1999,1,01053,.78,1.01
1999,1,01055,.78,1.01
1999,1,01057,1.37,1.58
1999,1,01059,1.01,1.19
1999,1,01061,1.82,2.15
1999,1,01063,1.01,1.19
1999,1,01065,1.58,1.82
1999,1,01067,2.15,2.61
1999,1,01069,.78,1.01
1999,1,01071,1.01,1.19
1999,1,01073,.78,1.01
1999,1,01075,.78,1.01
1999,1,01077,1.82,2.15
1999,1,01079,1.37,1.58
1999,1,01081,1.19,1.37
1999,1,01083,1.01,1.19
1999,1,01085,1.01,1.19
1999,1,01087,1.82,2.15
1999,1,01089,.78,1.01
1999,1,01091,1.01,1.19
1999,1,01093,1.01,1.19
1999,1,01095,1.01,1.19
1999,1,01097,.78,1.01
1999,1,01099,.78,1.01
1999,1,01101,.78,1.01
1999,1,01103,1.01,1.19
1999,1,01105,1.01,1.19
1999,1,01107,2.61,3.43
1999,1,01109,.78,1.01
1999,1,01111,1.58,1.82
1999,1,01113,1.37,1.58
1999,1,01115,2.61,3.43
1999,1,01117,2.15,2.61
1999,1,01119,.78,1.01
1999,1,01121,1.01,1.19
1999,1,01123,1.19,1.37
1999,1,01125,.78,1.01
1999,1,01127,1.37,1.58
1999,1,01129,.78,1.01
1999,1,01131,0,.78
1999,1,01133,0,.78
1999,1,02013,0,.78
1999,1,02016,0,.78
1999,1,02020,1.37,1.58
1999,1,02050,0,.78
1999,1,02060,0,.78
1999,1,02068,0,.78
1999,1,02070,0,.78
1999,1,02090,1.19,1.37
1999,1,02100,1.01,1.19
1999,1,02110,1.19,1.37
1999,1,02122,1.37,1.58
1999,1,02130,1.01,1.19
1999,1,02150,1.37,1.58
1999,1,02164,0,.78
1999,1,02170,3.43,
1999,1,02180,1.01,1.19
1999,1,02185,0,.78
1999,1,02188,0,.78
1999,1,02201,.78,1.01
1999,1,02220,1.37,1.58
1999,1,02232,0,.78
1999,1,02240,.78,1.01
1999,1,02261,.78,1.01
1999,1,02270,0,.78
1999,1,02280,0,.78
1999,1,02282,1.82,2.15
1999,1,02290,0,.78
1999,1,04001,.78,1.01
1999,1,04003,1.82,2.15
1999,1,04005,1.37,1.58
1999,1,04007,1.82,2.15
1999,1,04009,1.37,1.58
1999,1,04011,0,.78
1999,1,04012,1.37,1.58
1999,1,04013,1.19,1.37
1999,1,04015,1.82,2.15
1999,1,04017,1.19,1.37
1999,1,04019,1.58,1.82
1999,1,04021,1.58,1.82
1999,1,04023,1.58,1.82
1999,1,04025,2.15,2.61
1999,1,04027,1.19,1.37
1999,1,05001,0,.78
1999,1,05003,0,.78
1999,1,05005,1.01,1.19
1999,1,05007,1.01,1.19
1999,1,05009,1.01,1.19
1999,1,05011,0,.78
1999,1,05013,0,.78
1999,1,05015,1.01,1.19
1999,1,05017,.78,1.01
1999,1,05019,0,.78
1999,1,05021,0,.78
1999,1,05023,1.58,1.82
1999,1,05025,1.01,1.19
1999,1,05027,.78,1.01
1999,1,05029,1.19,1.37
1999,1,05031,1.01,1.19
1999,1,05033,1.37,1.58
1999,1,05035,1.19,1.37
1999,1,05037,1.58,1.82
1999,1,05039,0,.78
1999,1,05041,0,.78
1999,1,05043,1.19,1.37
1999,1,05045,1.01,1.19
1999,1,05047,1.37,1.58
1999,1,05049,1.01,1.19
1999,1,05051,.78,1.01
1999,1,05053,2.15,2.61
1999,1,05055,1.01,1.19
1999,1,05057,0,.78
1999,1,05059,1.37,1.58
1999,1,05061,0,.78
1999,1,05063,0,.78
1999,1,05065,.78,1.01
1999,1,05067,0,.78
1999,1,05069,0,.78
1999,1,05071,.78,1.01
1999,1,05073,0,.78
1999,1,05075,0,.78
1999,1,05077,1.01,1.19
