"","ZIP","COUNTYNAME","STATE","STCOUNTYFP"
"1","36003","Autauga County","AL",1001
"2","36006","Autauga County","AL",1001
"3","36067","Autauga County","AL",1001
"4","36066","Autauga County","AL",1001
"5","36703","Autauga County","AL",1001
"6","36701","Autauga County","AL",1001
"7","36091","Autauga County","AL",1001
"8","36051","Autauga County","AL",1001
"9","36068","Autauga County","AL",1001
"10","36008","Autauga County","AL",1001
"11","36022","Autauga County","AL",1001
"12","36749","Autauga County","AL",1001
"13","36758","Autauga County","AL",1001
"14","36550","Baldwin County","AL",1003
"15","36551","Baldwin County","AL",1003
"16","36527","Baldwin County","AL",1003
"17","36577","Baldwin County","AL",1003
"18","36559","Baldwin County","AL",1003
"19","36536","Baldwin County","AL",1003
"20","36576","Baldwin County","AL",1003
"21","36579","Baldwin County","AL",1003
"22","36502","Baldwin County","AL",1003
"23","36578","Baldwin County","AL",1003
"24","36533","Baldwin County","AL",1003
"25","36564","Baldwin County","AL",1003
"26","36561","Baldwin County","AL",1003
"27","36580","Baldwin County","AL",1003
"28","36535","Baldwin County","AL",1003
"29","36547","Baldwin County","AL",1003
"30","36549","Baldwin County","AL",1003
"31","36530","Baldwin County","AL",1003
"32","36562","Baldwin County","AL",1003
"33","36532","Baldwin County","AL",1003
"34","36526","Baldwin County","AL",1003
"35","36555","Baldwin County","AL",1003
"36","36511","Baldwin County","AL",1003
"37","36567","Baldwin County","AL",1003
"38","36574","Baldwin County","AL",1003
"39","36480","Baldwin County","AL",1003
"40","36507","Baldwin County","AL",1003
"41","36542","Baldwin County","AL",1003
"42","36017","Barbour County","AL",1005
"43","36016","Barbour County","AL",1005
"44","36311","Barbour County","AL",1005
"45","36374","Barbour County","AL",1005
"46","36048","Barbour County","AL",1005
"47","36053","Barbour County","AL",1005
"48","36317","Barbour County","AL",1005
"49","36027","Barbour County","AL",1005
"50","36072","Barbour County","AL",1005
"51","35035","Bibb County","AL",1007
"52","35034","Bibb County","AL",1007
"53","36750","Bibb County","AL",1007
"54","35115","Bibb County","AL",1007
"55","35188","Bibb County","AL",1007
"56","36793","Bibb County","AL",1007
"57","35074","Bibb County","AL",1007
"58","35042","Bibb County","AL",1007
"59","35111","Bibb County","AL",1007
"60","35184","Bibb County","AL",1007
"61","36792","Bibb County","AL",1007
"62","35456","Bibb County","AL",1007
"63","35031","Blount County","AL",1009
"64","35121","Blount County","AL",1009
"65","35063","Blount County","AL",1009
"66","35016","Blount County","AL",1009
"67","35079","Blount County","AL",1009
"68","35097","Blount County","AL",1009
"69","35133","Blount County","AL",1009
"70","35957","Blount County","AL",1009
"71","35126","Blount County","AL",1009
"72","35049","Blount County","AL",1009
"73","35172","Blount County","AL",1009
"74","35952","Blount County","AL",1009
"75","35180","Blount County","AL",1009
"76","35146","Blount County","AL",1009
"77","35976","Blount County","AL",1009
"78","35980","Blount County","AL",1009
"79","35013","Blount County","AL",1009
"80","36830","Bullock County","AL",1011
"81","36031","Bullock County","AL",1011
"82","36089","Bullock County","AL",1011
"83","36029","Bullock County","AL",1011
"84","36081","Bullock County","AL",1011
"85","36860","Bullock County","AL",1011
"87","36005","Bullock County","AL",1011
"88","36052","Bullock County","AL",1011
"89","36037","Butler County","AL",1013
"90","36033","Butler County","AL",1013
"91","36032","Butler County","AL",1013
"92","36456","Butler County","AL",1013
"93","36474","Butler County","AL",1013
"94","36030","Butler County","AL",1013
"95","36042","Butler County","AL",1013
"96","36071","Butler County","AL",1013
"97","36015","Butler County","AL",1013
"98","36206","Calhoun County","AL",1015
"99","36204","Calhoun County","AL",1015
"100","35096","Calhoun County","AL",1015
"101","36279","Calhoun County","AL",1015
"102","36205","Calhoun County","AL",1015
"103","36260","Calhoun County","AL",1015
"104","36271","Calhoun County","AL",1015
"105","36272","Calhoun County","AL",1015
"106","36201","Calhoun County","AL",1015
"107","36203","Calhoun County","AL",1015
"108","36207","Calhoun County","AL",1015
"109","36265","Calhoun County","AL",1015
"110","36202","Calhoun County","AL",1015
"111","36257","Calhoun County","AL",1015
"112","36253","Calhoun County","AL",1015
"113","36254","Calhoun County","AL",1015
"114","35905","Calhoun County","AL",1015
"115","36250","Calhoun County","AL",1015
"116","36277","Calhoun County","AL",1015
"117","36852","Chambers County","AL",1017
"118","36855","Chambers County","AL",1017
"119","36879","Chambers County","AL",1017
"120","36274","Chambers County","AL",1017
"121","36862","Chambers County","AL",1017
"122","36863","Chambers County","AL",1017
"123","36801","Chambers County","AL",1017
"124","36854","Chambers County","AL",1017
"125","36276","Chambers County","AL",1017
"126","36850","Chambers County","AL",1017
