fips,NAME,year,total_25plus,bach_or_higher,pct_bach_degree
01001,"Autauga County, Alabama",2020,37860,10721,28.317485472794505
01003,"Baldwin County, Alabama",2020,155563,49636,31.907330149200003
01005,"Barbour County, Alabama",2020,17797,2067,11.614317019722426
01007,"Bibb County, Alabama",2020,15987,1814,11.346719209357603
01009,"Blount County, Alabama",2020,39814,5276,13.251620033154165
01011,"Bullock County, Alabama",2020,6784,697,10.274174528301886
01013,"Butler County, Alabama",2020,13820,2205,15.955137481910276
01015,"Calhoun County, Alabama",2020,78967,14890,18.85597781351704
01017,"Chambers County, Alabama",2020,23771,3433,14.441967102772285
01019,"Cherokee County, Alabama",2020,19143,2476,12.93423183409079
01021,"Chilton County, Alabama",2020,30153,4107,13.620535270122375
01023,"Choctaw County, Alabama",2020,9263,1252,13.51613947965022
01025,"Clarke County, Alabama",2020,16703,2303,13.78794228581692
01027,"Clay County, Alabama",2020,9371,1104,11.781026571337105
01029,"Cleburne County, Alabama",2020,10538,1688,16.018219776048586
01031,"Coffee County, Alabama",2020,35936,7808,21.727515583259127
01033,"Colbert County, Alabama",2020,39077,6788,17.370831947181205
01035,"Conecuh County, Alabama",2020,8826,1221,13.834126444595512
01037,"Coosa County, Alabama",2020,8281,957,11.556575292839028
01039,"Covington County, Alabama",2020,26366,4117,15.614806948342563
01041,"Crenshaw County, Alabama",2020,9684,1792,18.504750103263117
01043,"Cullman County, Alabama",2020,58084,8954,15.415604985882513
01045,"Dale County, Alabama",2020,33522,6107,18.21788676093312
01047,"Dallas County, Alabama",2020,25611,4263,16.645191519269066
01049,"DeKalb County, Alabama",2020,48306,6753,13.979629859644765
01051,"Elmore County, Alabama",2020,56633,14620,25.815337347482913
01053,"Escambia County, Alabama",2020,25703,3213,12.500486324553552
01055,"Etowah County, Alabama",2020,72188,12775,17.69684712140522
01057,"Fayette County, Alabama",2020,11572,1422,12.288282060145178
01059,"Franklin County, Alabama",2020,21071,3171,15.049119643111386
01061,"Geneva County, Alabama",2020,18688,2445,13.08326198630137
01063,"Greene County, Alabama",2020,5768,584,10.124826629680998
01065,"Hale County, Alabama",2020,10023,1563,15.594133492966177
01067,"Henry County, Alabama",2020,12214,2308,18.896348452595383
01069,"Houston County, Alabama",2020,72863,16123,22.12782893924214
01071,"Jackson County, Alabama",2020,37102,6018,16.22014985715056
01073,"Jefferson County, Alabama",2020,450079,153252,34.05002232941328
01075,"Lamar County, Alabama",2020,9810,1107,11.284403669724771
